"","X","x"
"1001",1001,2
"1002",1002,3
"1003",1003,1
"1004",1004,1957
"1005",1005,1
"1006",1006,6
"1007",1007,3
"1008",1008,13
"1009",1009,7
"1010",1010,6
"1011",1011,1
"1012",1012,6
"1013",1013,709
"1014",1014,15
"1015",1015,1
"1016",1016,3
"1017",1017,23
"1018",1018,6
"1019",1019,127
"1020",1020,2
"1021",1021,21
"1022",1022,2
"1023",1023,4
"1024",1024,1
"1025",1025,4
"1026",1026,6
"1027",1027,2
"1028",1028,6
"1029",1029,1
"1030",1030,2
"1031",1031,2
"1032",1032,4
"1033",1033,2
"1034",1034,6
"1035",1035,3
"1036",1036,630
"1037",1037,6
"1038",1038,3
"1039",1039,3
"1040",1040,6
"1041",1041,6
"1042",1042,18
"1043",1043,15
"1044",1044,1
"1045",1045,11
"1046",1046,3
"1047",1047,148
"1048",1048,1
"1049",1049,7
"1050",1050,2
"1051",1051,127
"1052",1052,6
"1053",1053,2
"1054",1054,2
"1055",1055,167
"1056",1056,3
"1057",1057,7
"1058",1058,3
"1059",1059,2
"1060",1060,830
"1061",1061,4
"1062",1062,3
"1063",1063,1
"1064",1064,2
"1065",1065,3
"1066",1066,1
"1067",1067,27
"1068",1068,1
"1069",1069,3
"1070",1070,13
"1071",1071,2
"1072",1072,3
"1073",1073,6
"1074",1074,6
"1075",1075,3
"1076",1076,3
"1077",1077,38
"1078",1078,23
"1079",1079,3
"1080",1080,3
"1081",1081,3
"1082",1082,3
"1083",1083,4
"1084",1084,6
"1085",1085,2
"1086",1086,417
"1087",1087,23
"1088",1088,12
"1089",1089,1304
"1090",1090,1
"1091",1091,6
"1092",1092,9
"1093",1093,7
"1094",1094,1
"1095",1095,6
"1096",1096,6
"1097",1097,5
"1098",1098,2
"1099",1099,167
"1100",1100,10
"1101",1101,10
"1102",1102,16
"1103",1103,6
"1104",1104,3
"1105",1105,358
"1106",1106,1
"1107",1107,1
"1108",1108,2
"1109",1109,1
"1110",1110,481
"1111",1111,2
"1112",1112,33
"1113",1113,10
"1114",1114,3
"1115",1115,5
"1116",1116,10
"1117",1117,620
"1118",1118,24
"1119",1119,167
"1120",1120,4
"1121",1121,4
"1122",1122,3
"1123",1123,1084
"1124",1124,570
"1125",1125,350
"1126",1126,315
"1127",1127,7
"1128",1128,1128
"1129",1129,10
"1130",1130,2
"1131",1131,7
"1132",1132,6
"1133",1133,2
"1134",1134,2
"1135",1135,349
"1136",1136,76
"1137",1137,626
"1138",1138,10
"1139",1139,4
"1140",1140,62
"1141",1141,2
"1142",1142,7
"1143",1143,1703
"1144",1144,6
"1145",1145,3
"1146",1146,6
"1147",1147,1
"1148",1148,3
"1149",1149,100
"1150",1150,15
"1151",1151,6
"1152",1152,6
"1153",1153,6
"1154",1154,3
"1155",1155,10
"1156",1156,7
"1157",1157,6
"1158",1158,5
"1159",1159,10
"1160",1160,6
"1161",1161,417
"1162",1162,1
"1163",1163,33
"1164",1164,62
"1165",1165,1
"1166",1166,1
"1167",1167,7
"1168",1168,8
"1169",1169,13
"1170",1170,7
"1171",1171,26
"1172",1172,9
"1173",1173,165
"1174",1174,555
"1175",1175,3
"1176",1176,366
"1177",1177,3
"1178",1178,1
"1179",1179,9
"1180",1180,5
"1181",1181,13
"1182",1182,2
"1183",1183,10
"1184",1184,93
"1185",1185,42
"1186",1186,3
"1187",1187,1988
"1188",1188,18
"1189",1189,4
"1190",1190,217
"1191",1191,15
"1192",1192,6
"1193",1193,6
"1194",1194,1
"1195",1195,6
"1196",1196,6
"1197",1197,3
"1198",1198,104
"1199",1199,627
"1200",1200,12
"1201",1201,418
"1202",1202,42
"1203",1203,9
"1204",1204,31
"1205",1205,15
"1206",1206,2
"1207",1207,33
"1208",1208,6
"1209",1209,6
"1210",1210,20
"1211",1211,3
"1212",1212,3
"1213",1213,3
"1214",1214,6
"1215",1215,1
"1216",1216,10
"1217",1217,1
"1218",1218,13
"1219",1219,9
"1220",1220,2
"1221",1221,11
"1222",1222,3
"1223",1223,6
"1224",1224,3
"1225",1225,1
"1226",1226,6
"1227",1227,33
"1228",1228,7
"1229",1229,4
"1230",1230,1
"1231",1231,2
"1232",1232,3
"1233",1233,32
"1234",1234,7
"1235",1235,3
"1236",1236,57
"1237",1237,450
"1238",1238,1
"1239",1239,6
"1240",1240,237
"1241",1241,6
"1242",1242,1
"1243",1243,33
"1244",1244,2
"1245",1245,4
"1246",1246,2
"1247",1247,6
"1248",1248,3
"1249",1249,11
"1250",1250,7
"1251",1251,3
"1252",1252,5
"1253",1253,3
"1254",1254,1
"1255",1255,1
"1256",1256,3
"1257",1257,6
"1258",1258,322
"1259",1259,1
"1260",1260,8
"1261",1261,6
"1262",1262,390
"1263",1263,34
"1264",1264,11
"1265",1265,3
"1266",1266,2
"1267",1267,3
"1268",1268,3
"1269",1269,6
"1270",1270,32
"1271",1271,127
"1272",1272,1
"1273",1273,20
"1274",1274,917
"1275",1275,2
"1276",1276,33
"1277",1277,1
"1278",1278,2
"1279",1279,32
"1280",1280,33
"1281",1281,3
"1282",1282,3
"1283",1283,6
"1284",1284,1
"1285",1285,621
"1286",1286,7
"1287",1287,3
"1288",1288,2
"1289",1289,224
"1290",1290,3
"1291",1291,11
"1292",1292,6
"1293",1293,1
"1294",1294,7
"1295",1295,5
"1296",1296,3
"1297",1297,3
"1298",1298,33
"1299",1299,1
"1300",1300,2
"1301",1301,7
"1302",1302,6
"1303",1303,3
"1304",1304,10
"1305",1305,3
"1306",1306,2
"1307",1307,3
"1308",1308,3
"1309",1309,7
"1310",1310,10
"1311",1311,47
"1312",1312,7
"1313",1313,3
"1314",1314,3
"1315",1315,3
"1316",1316,118
"1317",1317,10
"1318",1318,2
"1319",1319,518
"1320",1320,1
"1321",1321,15
"1322",1322,1
"1323",1323,679
"1324",1324,70
"1325",1325,3
"1326",1326,3
"1327",1327,23
"1328",1328,6
"1329",1329,901
"1330",1330,6
"1331",1331,5
"1332",1332,3
"1333",1333,1
"1334",1334,7
"1335",1335,3
"1336",1336,1795
"1337",1337,2
"1338",1338,1388
"1339",1339,3
"1340",1340,7
"1341",1341,5
"1342",1342,12
"1343",1343,687
"1344",1344,9
"1345",1345,3
"1346",1346,140
"1347",1347,10
"1348",1348,6
"1349",1349,5
"1350",1350,608
"1351",1351,3
"1352",1352,6
"1353",1353,7
"1354",1354,6
"1355",1355,41
"1356",1356,1
"1357",1357,2
"1358",1358,6
"1359",1359,103
"1360",1360,7
"1361",1361,4
"1362",1362,3
"1363",1363,77
"1364",1364,32
"1365",1365,135
"1366",1366,3
"1367",1367,3
"1368",1368,3
"1369",1369,15
"1370",1370,65
"1371",1371,1
"1372",1372,1
"1373",1373,1
"1374",1374,396
"1375",1375,38
"1376",1376,3
"1377",1377,22
"1378",1378,4
"1379",1379,3
"1380",1380,3
"1381",1381,119
"1382",1382,6
"1383",1383,18
"1384",1384,2
"1385",1385,32
"1386",1386,175
"1387",1387,3
"1388",1388,3
"1389",1389,3
"1390",1390,10
"1391",1391,100
"1392",1392,2
"1393",1393,1
"1394",1394,65
"1395",1395,3
"1396",1396,2
"1397",1397,7
"1398",1398,10
"1399",1399,74
"1400",1400,33
"1401",1401,3
"1402",1402,10
"1403",1403,2
"1404",1404,6
"1405",1405,33
"1406",1406,26
"1407",1407,23
"1408",1408,15
"1409",1409,3
"1410",1410,2
"1411",1411,1376
"1412",1412,3
"1413",1413,1
"1414",1414,3
"1415",1415,10
"1416",1416,13
"1417",1417,45
"1418",1418,7
"1419",1419,23
"1420",1420,3
"1421",1421,1
"1422",1422,5
"1423",1423,3
"1424",1424,723
"1425",1425,1367
"1426",1426,5
"1427",1427,3
"1428",1428,3
"1429",1429,6
"1430",1430,7
"1431",1431,3
"1432",1432,21
"1433",1433,5
"1434",1434,2
"1435",1435,7
"1436",1436,3
"1437",1437,6
"1438",1438,4
"1439",1439,11
"1440",1440,2
"1441",1441,7
"1442",1442,2
"1443",1443,1
"1444",1444,6
"1445",1445,3
"1446",1446,6
"1447",1447,6
"1448",1448,4
"1449",1449,9
"1450",1450,4
"1451",1451,1
"1452",1452,2
"1453",1453,152
"1454",1454,2
"1455",1455,2
"1456",1456,1
"1457",1457,31
"1458",1458,368
"1459",1459,30
"1460",1460,14
"1461",1461,2
"1462",1462,35
"1463",1463,7
"1464",1464,2
"1465",1465,124
"1466",1466,6
"1467",1467,4
"1468",1468,6
"1469",1469,65
"1470",1470,11
"1471",1471,60
"1472",1472,6
"1473",1473,1
"1474",1474,2
"1475",1475,2
"1476",1476,2
"1477",1477,6
"1478",1478,2
"1479",1479,46
"1480",1480,13
"1481",1481,3
"1482",1482,6
"1483",1483,1
"1484",1484,7
"1485",1485,3
"1486",1486,9
"1487",1487,47
"1488",1488,2
"1489",1489,138
"1490",1490,3
"1491",1491,1749
"1492",1492,10
"1493",1493,1216
"1494",1494,1
"1495",1495,3
"1496",1496,1
"1497",1497,3
